"Name","State","Notes","User","Tags","Created","End Time","Runtime","Sweep","algorithm.batch_size","algorithm.epsilon.decay_fraction","algorithm.epsilon.end","algorithm.epsilon.start","algorithm.gamma","algorithm.learning_starts","algorithm.name","algorithm.network.encoder","algorithm.network.head","algorithm.network.hidden_dim","algorithm.optimizer.eps","algorithm.optimizer.lr","algorithm.optimizer.type","algorithm.target_network_frequency","algorithm.tau","algorithm.train_frequency","device","env.capture_video","env.clip_rewards","env.frame_stack","env.grayscale","env.id","env.noop_max","env.num_envs","env.resize","env.scale_obs","load_encoder_only","optimizer.eps","optimizer.lr","optimizer.type","output_dir","pruning.end_step","pruning.final_sparsity","pruning.initial_sparsity","pruning.method","pruning.scheduler","pruning.start_step","pruning.update_frequency","seed","train.buffer_size","train.checkpoint_interval","train.log_interval","train.total_timesteps","training.gradient_clip_norm","wandb.enabled","wandb.group","wandb.job_type","wandb.name","wandb.project","wandb.tags","initial_artifact","pruning.iqm_window_size","pruning.pruning_rate","pruning.rewind_to_step","train.delegate_stopping"
"atari_ddqn_gmp_sweep-Breakout-v5-S75-s3","finished","-","","0.75, 3, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T16:48:48.000Z","2026-01-15T00:50:55.000Z","28927","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S75-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""3"",""ALE/Breakout-v5"",""0.75"",""sparsity-0.75""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S90-s3","finished","-","","0.9, 3, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.9","2026-01-14T16:52:55.000Z","2026-01-15T00:54:23.000Z","28888","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.9","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S90-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""3"",""ALE/Breakout-v5"",""0.9"",""sparsity-0.9""]","","","","",""
"atari_ddqn_gmp_sweep-Pong-v5-S60-s3","finished","-","","0.6, 3, ALE/Pong-v5, Pong-v5, atari_ddqn_gmp_sweep, sparsity-0.6","2026-01-14T17:39:11.000Z","2026-01-15T01:29:07.000Z","28196","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Pong-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.6","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Pong-v5-S60-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""Pong-v5"",""3"",""ALE/Pong-v5"",""0.6"",""sparsity-0.6""]","","","","",""
"atari_ddqn_gmp_sweep-Pong-v5-S75-s3","finished","-","","0.75, 3, ALE/Pong-v5, Pong-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T17:57:23.000Z","2026-01-15T01:46:43.000Z","28160","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Pong-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Pong-v5-S75-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""Pong-v5"",""3"",""ALE/Pong-v5"",""0.75"",""sparsity-0.75""]","","","","",""
"atari_ddqn_gmp_sweep-Pong-v5-S90-s3","finished","-","","0.9, 3, ALE/Pong-v5, Pong-v5, atari_ddqn_gmp_sweep, sparsity-0.9","2026-01-14T18:15:38.000Z","2026-01-15T02:13:29.000Z","28671","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Pong-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.9","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Pong-v5-S90-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""Pong-v5"",""3"",""ALE/Pong-v5"",""0.9"",""sparsity-0.9""]","","","","",""
"atari_ddqn_gmp_sweep-SpaceInvaders-v5-S60-s3","finished","-","","0.6, 3, ALE/SpaceInvaders-v5, SpaceInvaders-v5, atari_ddqn_gmp_sweep, sparsity-0.6","2026-01-14T18:19:16.000Z","2026-01-15T02:12:41.000Z","28405","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/SpaceInvaders-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.6","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-SpaceInvaders-v5-S60-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""SpaceInvaders-v5"",""3"",""ALE/SpaceInvaders-v5"",""0.6"",""sparsity-0.6""]","","","","",""
"atari_ddqn_gmp_sweep-SpaceInvaders-v5-S75-s3","finished","-","","0.75, 3, ALE/SpaceInvaders-v5, SpaceInvaders-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T18:27:59.000Z","2026-01-15T02:14:31.000Z","27992","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/SpaceInvaders-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-SpaceInvaders-v5-S75-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""SpaceInvaders-v5"",""3"",""ALE/SpaceInvaders-v5"",""0.75"",""sparsity-0.75""]","","","","",""
"atari_ddqn_gmp_sweep-SpaceInvaders-v5-S90-s3","finished","-","","0.9, 3, ALE/SpaceInvaders-v5, SpaceInvaders-v5, atari_ddqn_gmp_sweep, sparsity-0.9","2026-01-14T18:48:02.000Z","2026-01-15T02:38:54.000Z","28252","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/SpaceInvaders-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.9","0","gmp","cubic","1000000","10000","3","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-SpaceInvaders-v5-S90-s3","atari-gmp","[""atari_ddqn_gmp_sweep"",""SpaceInvaders-v5"",""3"",""ALE/SpaceInvaders-v5"",""0.9"",""sparsity-0.9""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S60-s4","finished","-","","0.6, 4, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.6","2026-01-14T20:46:56.000Z","2026-01-15T04:56:25.000Z","29369","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.6","0","gmp","cubic","1000000","10000","4","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S60-s4","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""4"",""ALE/Breakout-v5"",""0.6"",""sparsity-0.6""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S75-s4","finished","-","","0.75, 4, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T21:59:22.000Z","2026-01-15T06:11:10.000Z","29508","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","4","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S75-s4","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""4"",""ALE/Breakout-v5"",""0.75"",""sparsity-0.75""]","","","","",""
