run_name,env,sparsity,seed,iteration,avg_return,iter_start_step,iter_end_step,window_size,used_frac
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,0,600.0,391.0,10000076.0,2000,0.00020000630019845626
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,1,1425.0,10000076.0,20000261.0,2000,0.00019999630006844874
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,2,610.0,20000261.0,30001230.0,2000,0.00019998062187774005
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,3,715.0,30001230.0,40005104.0,2000,0.0001999225500041284
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,4,530.0,40005104.0,50000942.0,2000,0.00020008327465891303
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,5,1145.0,50000942.0,60000717.0,2000,0.00020000450010125228
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,6,1205.0,60000717.0,70000185.0,2000,0.0002000106405660781
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,7,515.0,70000185.0,72137546.0,2000,0.0009357333646492099
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,8,2255.0,72137546.0,82138272.0,2000,0.00019998548105407547
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s3,SpaceInvaders-v5,60,3,9,1370.0,82138272.0,88289421.0,2000,0.0003251425058960529
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,0,7.0,983.0,10006590.0,2000,0.00019988792284166267
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,1,15.0,10006590.0,16856844.0,2000,0.00029195997695851864
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,2,15.0,16856844.0,22591541.0,2000,0.00034875425850746777
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,3,17.0,22591541.0,29503002.0,2000,0.00028937441736269655
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,4,11.0,29503002.0,35086165.0,2000,0.00035821988360361324
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,5,16.0,35086165.0,41944425.0,2000,0.00029161915704566463
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,6,5.0,41944425.0,49639537.0,2000,0.00025990524894244554
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,7,16.0,49639537.0,56548865.0,2000,0.0002894637510333856
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,8,20.0,56548865.0,64023125.0,2000,0.000267585018449987
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,9,15.0,64023125.0,72237997.0,2000,0.000243460884113593
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,10,3.0,72237997.0,82237488.0,2000,0.00020001018051818837
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,11,-4.0,82237488.0,92238922.0,2000,0.00019997132411212233
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,12,-1.0,92238922.0,102237953.0,2000,0.000200019381878104
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,13,7.0,102237953.0,109224917.0,2000,0.00028624736008372163
atari_ddqn_lth_sweep-Pong-v5-S75-s3,Pong-v5,75,3,14,-13.0,109224917.0,119215960.0,2000,0.00020017930059954703
atari_ddqn_lth_sweep-Breakout-v5-S60-s3,Breakout-v5,60,3,0,0.0,199.0,10001764.0,2000,0.0001999687048976835
atari_ddqn_lth_sweep-Breakout-v5-S60-s3,Breakout-v5,60,3,1,2.0,10001764.0,11066848.0,2000,0.0018777861652226491
atari_ddqn_lth_sweep-Breakout-v5-S60-s3,Breakout-v5,60,3,2,1.0,11066848.0,11567824.0,2000,0.0039922072115231065
atari_ddqn_lth_sweep-Breakout-v5-S60-s3,Breakout-v5,60,3,3,3.0,11567824.0,12096388.0,2000,0.00378383696203298
atari_ddqn_lth_sweep-Breakout-v5-S60-s3,Breakout-v5,60,3,4,1.0,12096388.0,12619062.0,2000,0.0038264769244309074
atari_ddqn_lth_sweep-Breakout-v5-S60-s3,Breakout-v5,60,3,5,2.5,12619062.0,12888596.0,2000,0.007420214147380293
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,0,12.0,983.0,10004370.0,2000,0.00019993228293576964
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,1,15.0,10004370.0,16856844.0,2000,0.00029186539051443317
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,2,15.0,16856844.0,22591541.0,2000,0.00034875425850746777
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,3,17.0,22591541.0,29503002.0,2000,0.00028937441736269655
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,4,15.0,29503002.0,35086165.0,2000,0.00035821988360361324
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,5,17.0,35086165.0,41944425.0,2000,0.00029161915704566463
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,6,5.0,41944425.0,49639537.0,2000,0.00025990524894244554
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,7,16.0,49639537.0,56548865.0,2000,0.0002894637510333856
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,8,-2.0,56548865.0,60538591.0,2000,0.0005012875570903866
atari_ddqn_lth_sweep-Pong-v5-S60-s3,Pong-v5,60,3,9,-11.0,60538591.0,70536573.0,2000,0.00020004036814629192
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,0,0.0,199.0,10001764.0,2000,0.0001999687048976835
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,1,2.0,10001764.0,11066848.0,2000,0.0018777861652226491
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,2,1.0,11066848.0,11567824.0,2000,0.0039922072115231065
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,3,3.0,11567824.0,12096388.0,2000,0.00378383696203298
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,4,1.0,12096388.0,12619062.0,2000,0.0038264769244309074
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,5,0.0,12619062.0,13182442.0,2000,0.0035500017750008874
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,6,2.0,13182442.0,13734994.0,2000,0.0036195688369601415
atari_ddqn_lth_sweep-Breakout-v5-S75-s3,Breakout-v5,75,3,7,4.0,13734994.0,14238596.0,2000,0.003971390105678691
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,0,15.0,834.0,10003480.0,2000,0.00019994709399892788
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,1,-21.0,10003480.0,20004896.0,2000,0.00019997168400954425
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,2,7.0,20004896.0,28436353.0,2000,0.00023720692639480934
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,3,18.0,28436353.0,38427616.0,2000,0.00020017489280384272
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,4,11.0,38427616.0,48428743.0,2000,0.00019997746253997174
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,5,14.0,48428743.0,56586624.0,2000,0.00024516170314325497
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,6,17.0,56586624.0,66592897.0,2000,0.00019987461865171978
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,7,13.0,66592897.0,74496386.0,2000,0.00025305279731521106
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,8,17.0,74496386.0,84501698.0,2000,0.0001998938164047258
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,9,4.0,84501698.0,94496253.0,2000,0.00020010895932835428
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,10,9.0,94496253.0,104496201.0,2000,0.00020000104000540803
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,11,-8.0,104496201.0,114496352.0,2000,0.00019999698004560131
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,12,6.0,114496352.0,124499405.0,2000,0.00019993895863592846
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,13,-6.0,124499405.0,134495753.0,2000,0.00020007306668395298
atari_ddqn_lth_sweep-Pong-v5-S75-s2,Pong-v5,75,2,14,-3.0,134495753.0,144490318.0,2000,0.0002001087591105766
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s2,SpaceInvaders-v5,60,2,0,1230.0,377.0,10002124.0,2000,0.0001999650661029518
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s2,SpaceInvaders-v5,60,2,1,1330.0,10002124.0,16514613.0,2000,0.0003071022461611835
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s2,SpaceInvaders-v5,60,2,2,1380.0,16514613.0,24384361.0,2000,0.00025413774367362207
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s2,SpaceInvaders-v5,60,2,3,1130.0,24384361.0,31039192.0,2000,0.00030053355224197276
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s2,SpaceInvaders-v5,60,2,4,1675.0,31039192.0,39587621.0,2000,0.00023396111730003257
atari_ddqn_lth_sweep-SpaceInvaders-v5-S60-s2,SpaceInvaders-v5,60,2,5,1200.0,39587621.0,47036295.0,2000,0.00026850416597638723
